期数,标题,日期,主题,嘉宾,链接
139,ICCV 最佳论文、光年之外、Sand.ai：曹越十年 AI 之旅,2025-10-31,人物,曹越,https://podcast.latepost.com/139
138,从你用手机到它更懂你，OPPO 的手机 AI 实践｜Agent#7,2025-10-24,Agent,万玉龙,https://podcast.latepost.com/138
137,Agent 是机会，造 Agent 的工具也是｜OpenAI 开发者日｜Agent#6,2025-10-17,Agent,Henry Yin、Naomi Xia,https://podcast.latepost.com/137
136,Sora 新世界 & Lovart 4 个月复盘｜与陈冕聊垂类 Agent｜Agent#5,2025-10-10,Agent,陈冕,https://podcast.latepost.com/136
135,专访张益唐：70 岁数学家，追逐第二次闪电,2025-09-29,科学,张益唐,https://podcast.latepost.com/135
134,Meta AI 人才动荡，上亿美元为何留不住人？｜与朱哲清盘点 AI 组织,2025-09-23,组织,朱哲清,https://podcast.latepost.com/134
133,4000 日薪实习生和零工化程序员，与脉脉林凡盘点 25 年 AI 人才市场,2025-09-17,人才,林凡,https://podcast.latepost.com/133
132,350 亿美元大并购后聊 EDA｜芯片工程师科普,2025-08-29,芯片,芯片工程师,https://podcast.latepost.com/132
131,微软怎么用 AI？与微软商用市场、广告业务管理层聊 AI 驱动增长,2025-08-26,大厂,微软管理层,https://podcast.latepost.com/131
130,手机 Agent 大幕拉开！从 AutoGLM 2.0 聊起｜Agent#4,2025-08-21,Agent,智谱 AutoGLM,https://podcast.latepost.com/130
129,中国 AI founder 如何直接在美国创业？对话 FinalRound 创始人 Michael,2025-08-14,出海·创业,Michael Guan,https://podcast.latepost.com/129
128,小众 AI 场景拿到 10 亿级收入：测测任永亮首次讲述 14 年创业史,2025-07-31,AI 应用,任永亮,https://podcast.latepost.com/128
127,与真格戴雨森 25 AI 中场复盘,2025-07-22,投资,戴雨森,https://podcast.latepost.com/127
117,印奇的 AI 创业 14 年：所有不能闭环的辉煌都是暂时的,2025-05-21,人物,印奇,https://podcast.latepost.com/117
112,与千寻高阳聊具身：一个像机器人的人，怎么做像人的机器人,2025-04-29,具身,高阳,https://podcast.latepost.com/112
111,Pokee.ai 朱哲清的 Agent 造法｜Agent#3,2025-04-23,Agent,朱哲清,https://podcast.latepost.com/111
110,与明势夏令聊 Agent 竞争｜Agent#2,2025-04-15,Agent,夏令,https://podcast.latepost.com/110
106,与真格戴雨森长聊 Agent｜Agent#1,2025-03-09,Agent,戴雨森,https://podcast.latepost.com/106
103,用 Attention 串起大模型优化史，详解 DeepSeek、Kimi 注意力机制,2025-02-26,大模型,技术向,https://podcast.latepost.com/103
102,DeepSeek 启动开源周，大模型开源到底在开什么？,2025-02-25,大模型,王子涵,https://podcast.latepost.com/102
101,与王小川聊 AI × 医疗,2025-02-11,医疗,王小川,https://podcast.latepost.com/101
100,硅谷怎么看 DeepSeek？与 Fusion Fund 张璐聊开源、Agent,2025-01-29,硅谷,张璐,https://podcast.latepost.com/100
99,MiniMax 创始人闫俊杰：做大模型，千万别套用移动互联网的逻辑,2025-01-20,大模型,闫俊杰,https://podcast.latepost.com/99
98,李开复聊零一部分团队并入阿里,2025-01-14,大模型,李开复,https://podcast.latepost.com/98
97,中国产品如何从 0 到 1 搭海外品牌,2025-01-03,出海,Eric,https://podcast.latepost.com/97
96,和楼天城聊 Robotaxi,2024-12-26,智驾,楼天城,https://podcast.latepost.com/96
86,We Robot-2，许华哲看 Optimus 的门道,2024-10-28,具身,许华哲,https://podcast.latepost.com/86
77,不仅是车企的战争，与 Momenta 曹旭东聊智驾供应商生存法,2024-08-12,智驾,曹旭东,https://podcast.latepost.com/77
71,如果相信只靠 Scaling Laws 就能实现 AGI，你该改行了｜与港大马毅,2024-06-12,AI 理论,马毅,https://podcast.latepost.com/71
65,信仰充值的威力：与逐际动力谌骅聊人形机器人,2024-04-02,具身,谌骅,https://podcast.latepost.com/65
